t (s),V (mV)
0,11.6544
1.05,11.5875
2.099,11.5132
3.15,11.4468
4.157,11.376
5.157,11.3094
6.162,11.2435
7.157,11.1767
8.157,11.1112
9.157,11.0461
10.158,10.9812
11.157,10.9161
12.158,10.8525
13.157,10.7892
14.158,10.7259
15.158,10.6627
16.158,10.5994
17.156,10.5377
18.157,10.4764
19.156,10.4145
20.156,10.3541
21.156,10.2931
22.156,10.2323
23.157,10.1725
24.156,10.1131
25.156,10.0544
26.157,9.9945
27.157,9.9361
28.158,9.8775
29.157,9.8196
30.158,9.7617
31.158,9.7027
32.157,9.6467
33.158,9.5894
34.158,9.5325
35.157,9.4772
36.162,9.4227
37.157,9.3656
38.158,9.311
39.157,9.2567
40.158,9.2021
41.157,9.1477
42.157,9.0937
43.158,9.0412
44.157,8.9874
45.157,8.9349
46.158,8.8824
47.157,8.8291
48.157,8.7776
49.158,8.726
50.158,8.6748
51.158,8.624
52.157,8.5726
53.158,8.5228
54.158,8.4717
55.158,8.4228
56.157,8.3727
57.158,8.3235
58.158,8.275
59.157,8.226
60.158,8.1777
61.158,8.1295
62.157,8.0812
63.157,8.034
64.158,7.9867
65.157,7.9385
66.157,7.8911
67.158,7.8447
68.157,7.7978
69.158,7.7517
70.158,7.7062
71.157,7.6596
72.158,7.6151
73.158,7.5699
74.158,7.5252
75.157,7.4796
76.157,7.4353
77.158,7.3917
78.158,7.3475
79.157,7.305
80.157,7.2617
81.158,7.2188
82.158,7.1753
83.157,7.132
84.157,7.0897
85.158,7.048
86.157,7.0063
87.158,6.9647
88.157,6.9233
89.158,6.8815
90.157,6.8406
91.158,6.8001
92.158,6.7593
93.157,6.7189
94.158,6.6778
95.157,6.6389
96.163,6.5959
97.158,6.5587
98.157,6.5195
